,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Naujoji Rūta,Saldainiai GRILIAŽAS (galima užsisakyti nuo 100gr),Sweets Griliažas (available from 100gr),1kg,110.00,4770067172618,Sweets / Chocolates
,Saldainiai AUKSINIS RAKTELIS (galima užsisakyti nuo 100gr),Sweets GOLDEN key (available from 100gr),1kg,110.00,,Sweets / Chocolates
USENAS,Saldainis “Paukščių grietinėlė” vanilės skonio,"Candy ""Bird cream vanilla flavor",1kg,110.00,,Sweets / Chocolates
USENAS,Saldainis “Paukščių grietinėlė” šokolado skonio,"Candy ""Bird cream chocolate",1kg,110.00,,Sweets / Chocolates
USENAS,Saldainis “Paukščių grietinėlė” citrinų skonio,"Candy ""Bird cream, lemon flavor",1kg,110.00,,Sweets / Chocolates
,Įvairūs sveriami rusiški (šokoladiniai),Various weighed in Russian (chocolate),1kg,130.00,,Sweets / Chocolates
Karūna,Saldainiai MIGLĖ,Sweets MIGLĖ,190g,25.00,4770100400609,Sweets / Chocolates
Vilniaus Pergalė,Saldainiai NOMEDA barberry,Sweets NOMEDA barberry,130g,13.00,4770179156193,Sweets / Chocolates
,"Sald.PAUKŠČIŲ PIENAS,van","Sald.PAUKŠČIŲ MILK, van",160g,32.00,,Sweets / Chocolates
Lisenas,Saldainiai “Paukščių grietinėlė”,"Candies ""Bird cream",280g,59.00,4770493186050,Sweets / Chocolates
,"Saldainiai PAUKŠČIŲ GRIETINĖLĖ ,vaniliniai",Sweets BIRDS CREAM vanilla,500g,45.00,,Sweets / Chocolates
,"Saldainiai PAUKŠČIŲ GRIETINĖLĖ, šokoladiniai","Sweets BIRDS CREAM, chocolate",500g,45.00,,Sweets / Chocolates
Karūna,Saldainių dėžutė KARŪNA Asorti,Crown Candy Box Assorted,270g,55.00,7622210044730,Sweets / Chocolates
Karūna,Saldainių dėžutė KARŪNA Asorti,Crown Candy Box Assorted,180g,45.00,7622210044693,Sweets / Chocolates
Rūta,"Dražė LAZDYNAS. Lazdynų riešutai su karameliniu glaistu, padengti traškia plėvele",Pills LAZDYNŲ. Hazelnuts with caramel glaze coated crispy film,250g,69.00,4770123195872,Sweets / Chocolates
Daisena,Baltasis šokoladas “Schogetten”,"White chocolate ""Schogetten""",100g,12.00,no barcode,Sweets / Chocolates
Daisena,"Baltas šokoladas su lazdynų riešutų traškučiais, riešutine gianduja ir pieniniu šokoladu","White chocolate with hazelnut chips, Gianduja and milk chocolate",100g,12.00,4000415143800,Sweets / Chocolates
Rūta,Šokoladas “Lietuva”,"Chocolate ""Lithuania""",42g,25.00,4770123191058,Sweets / Chocolates
Laima,Pieninis šokoladas “Priecigus svetkus” (18gx5),"Milk chocolate ""Merry Svētki (18gx5)",90g,14.00,4750001945133,Sweets / Chocolates
Pergalė,"Šokoladas “Pergalė”, juodasis su sveikais lazdynu riešutais","Chocolate ""Victory"", black with whole hazelnuts",250g,38.00,,Sweets / Chocolates
Pergalė,Šokoladas “Pergalė” pieninis su miško uogų įdaru,Chocolate Victory 'milk with wild berry filling,100g,15.00,4770179125281,Sweets / Chocolates
Karūna,Šokoladas “Karūna” juodas,Chocolate 'Crown black,90g,15.00,7622210302779,Sweets / Chocolates
Karūna,Šokoladas “Karūna” juodasis su aviečių įdaru,Chocolate 'Crown black with raspberry filling,100g,15.00,,Sweets / Chocolates
Karūna,Šokoladas “Karūna” juodasis su sveikais lazdynų riešutais,Chocolate 'Crown black with whole hazelnuts,100g,15.00,4770100503515,Sweets / Chocolates
Karūna,Šokoladas “Karūna” pieninis,Chocolate 'Crown milk,90g,15.00,7622210302809,Sweets / Chocolates
Karūna,Šokoladas “Karūna” pieninis su sveikais lazdynų riešutais,Chocolate 'Crown milk with whole hazelnuts,100g,15.00,4770100010129,Sweets / Chocolates
Karūna,Šokoladas “Karūna” pieninis su razinomis ir lazdynų riešutais,Chocolate 'Crown milk with raisins and hazelnuts,90g,15.00,7622210302830,Sweets / Chocolates
Karūna,Šokoladas “Karūna” su vyšnių skonio pieniniu įdaru ir želiniu vyšnių įdaru,"Chocolate ""Crown"" with cherry taste Dairies filling and cherry jelly filling",90g,15.00,7622210359797,Sweets / Chocolates
Karūna,Šokoladas “Karūna” pieninis su karamelizuotais sūdytais migdolais,"Chocolate ""Crown"" with caramelized milk salty almonds",100g,15.00,7622300695538,Sweets / Chocolates
Karūna,Šooladas “Karūna” akytasis pieninis,Šooladas' Crown porous milk,80g,15.00,7622300715694,Sweets / Chocolates
Laima,Šokoladas “Laima” kartusis,Chocolate Laima bitter,100g,15.00,4750001943849,Sweets / Chocolates
Laima,Šokoladas “Laima” kartusis su skalditais migdolo riešutais,Chocolate Laima with bitter almond splinter,100g,15.00,4750001943832,Sweets / Chocolates
Laima,Šokoladas “Laima” pieninis su smulkintais lazdynų riešutais,Chocolate Laima milk with chopped hazelnuts,100g,15.00,4750001943795,Sweets / Chocolates
Laima,Kartūsis šokoladas 90%,Bitter chocolate 90%,100g,20.00,4750001946871,Sweets / Chocolates
,Šokoladas KARALIŠKAS 70% Cacao,ROYAL Chocolate 70% Cacao,100g,20.00,,Sweets / Chocolates
Meškėnas,Šokoladas “Tai tau” Classic juodasis,"Chocolate ""It's you"" Classic Black",100g,15.00,4779021230500,Sweets / Chocolates
Meškėnas,Šokoladas “Tai tau” Exclusive Selection juodasis 72%,"Chocolate ""It's You"" Exclusive Selection black 72%",100g,15.00,4779021230630,Sweets / Chocolates
Laima,Slyvos ir migdolai šokolade,Plums and almonds in chocolate,180g,34.00,4750011823445,Sweets / Chocolates
Laima,Slyvos šokolade,Plums in chocolate,180g,29.00,4750011823452,Sweets / Chocolates
Vilniaus Pergalė,Triufelai “Pregalė” originalūs,"Truffles Pregalė ""original",200g,35.00,4770179182826,Sweets / Chocolates
Vilniaus Pergalė,Triufelai “Pregalė” su konjaku,Truffles Pregalė with cognac,200g,35.00,4770179182666,Sweets / Chocolates
Biržų Duona,Sucre gėlių skoniai,Sucre flowers flavors,60g,39.00,4770078194043,Sweets / Chocolates
Saldus lobis,Griliažo skiltelės,Peanut brittle with a dark cocoa covering,200g,28.00,4770067177149,Sweets / Chocolates
,SALDAINIŲ RINKINIAI/ SALDAINIAI DĖŽUTĖSE,Assorted sweets /,kg,,EAN code,
Rūta,Šokoladinių figūrų rinkinys “Tikroms Damoms”,"Chocolate figures set of ""real ladies'",100g,59.00,4770123196275,Assorted sweets /
Rūta,Šokoladinių figūrų rinkinys “Tikriems Vyrams”,"Chocolate figures set of ""real men""",100g,59.00,?,Assorted sweets /
Pergalė,Saldainių rinkinys “Lietuva”,"Sweets collection ""Lithuania""",375g,75.00,4770179116135,Assorted sweets /
Karūna,Šokoladinių saldainių rinkinys,Chocolate candy set,270g,55.00,7622210044730,Assorted sweets /
Karūna,Šokoladinių saldainių rinkinys “Kauno Asorti”,"Assortment of chocolates ""Assorted Kaunas""",186g,59.00,7622210044310,Assorted sweets /
Karūna,Šokoladinių saldainių rinkinys “Kauno Asorti”,"Assortment of chocolates ""Assorted Kaunas""",381g,79.00,7622210044334,Assorted sweets /
Laima,Šokoladinių saldainių asorti,Assorted chocolates,95g,25.00,4750001943412,Assorted sweets /
Laima,Šokoladinių saldainių asorti,Assorted chocolates,95g,25.00,4750001946253,Assorted sweets /
Laima,"Šokoladinių saldainių rinkinys ""Mon Ami""","Chocolate candy set ""Mon Ami""",245g,,4750001946239,Assorted sweets /
Laima,"Šokoladinių saldainių rinkinys ""Vilnius""","Chocolates collection ""Vilnius""",360g,60.00,4750001008067,Assorted sweets /
PERGALE,Saldainių rinkinys Pergalė Dream,Assorted sweets Pergalė Dream hot chocolate taste and brandy,174g,,4770179182833,Assorted sweets /
PERGALE,"Vanilinio skonio saldainiai ""Paukščių pienas""",,160g,32.00,4770179120255,Assorted sweets /
,Saldainių rinkinys su pieninių šokoladu ir viskio įdaru,Assorted sweets with milk chocolate and whisky filling,187g,39.00,4770179119556,Assorted sweets /
Vilniaus Pergale,"Triufeliai ""Pergalė"" cognac","Truffles ""Pergale"" cognac",200g,35.00,4770179182666,Assorted sweets /
Vilniaus Pergale,"Triufeliai ""Pergalė"" originalūs","Truffles ""Pergale"" original",200g,35.00,4770179182826,Assorted sweets /
,KALĖDINIAI SALDAINIŲ RINKINIAI,CHRISTMAS SWEETS BOXES,Kg,,Ean code,
Naujoji Rūta,"Dovanėlė ""Žibintas""","Present ""Lantern""",250g,39.00,4770067181535,CHRISTMAS SWEETS BOXES
Naujoji Rūta,"Dovanėlė ""Kiškutis""","Present ""hare""",120g,22.00,4770067185953,CHRISTMAS SWEETS BOXES
Naujoji Rūta,"Dovanėlė ""Eglutė""",Present Herringbone,50g,12.00,4770067184383,CHRISTMAS SWEETS BOXES
Naujoji Rūta,"Dovanėlė ""Rankinė""",Present in Hand,250g,45.00,4770067187650,CHRISTMAS SWEETS BOXES
Naujoji Rūta,Saldi dovanėlė,Sweet gift,500g,149.00,4770067188541,CHRISTMAS SWEETS BOXES
Rūta,"Saldainių dovanėlė ""Laikrodukas""","Sweets freebie ""Watches""",280g,72.00,4770123197937,CHRISTMAS SWEETS BOXES
Rūta,"Dovanėlė ""Šventinė dovanėlė""","Present ""gifts from""",230g,49.00,4770123197890,CHRISTMAS SWEETS BOXES
Rūta,"Saldainių dovanėlė ""Dėlionė""","Sweets freebie ""jigsaw puzzle""",300g,79.00,4770123196664,CHRISTMAS SWEETS BOXES
Daisena,"Kalėdinių saldainių rinkinys ""AHA skrynia""","Christmas sweets ""AHA's Chest""",273g,49.00,4771632310824,CHRISTMAS SWEETS BOXES
Daisena,"Kalėdinių saldainių rinkinys ""AHA traukinys""","Christmas sweets ""AHA train",236g,69.00,4771632310763,CHRISTMAS SWEETS BOXES
Sanitex,Advento kalendorius,advent Calendar,50g,32.00,8595164301794,CHRISTMAS SWEETS BOXES
Viktorija ir partneriai,Sausainiai 2016,biscuits 2016,155g,10.00,4770044193766,CHRISTMAS SWEETS BOXES
Javinė,Kūčiukai,Christmas Eve cookies,300g,12.00,4770049023112,CHRISTMAS SWEETS BOXES
Biržų Duona,Kūčiukai,Christmas Eve cookies,200g,12.00,4770078192216,CHRISTMAS SWEETS BOXES
Vilniaus Duona,Kūčiukai,Christmas Eve cookies,200g,12.00,4770163834717,CHRISTMAS SWEETS BOXES
Laragis kepykla,Kūčiukai,Christmas Eve cookies,400g,12.00,4770592193119,CHRISTMAS SWEETS BOXES
,ZEFYRAS,ZEFYR,kg,,EAN code,
,"Zefyrai SONATA,vaniliniai,",,200g,18.00,,ZEFYR
,Glaistytas zefyrai su šokoladu,,800g,59.00,4770493186654,ZEFYR
Laima,Vanilės zefyras,,200g,20.00,4750001002508,ZEFYR
Laima,Grietininis zefyras,,200g,20.00,4750001002843,ZEFYR
Laima,Mėlynių zefyras,,200g,20.00,4750011848646,ZEFYR
Laima,“Maigums” vanilės skonio zefyras šokolade,,200g,22.00,4750001004267,ZEFYR
Laima,“Maigums” zefyras su šokolado glaistu ir kavos įdaru,,200g,22.00,4750011849162,ZEFYR
Laima,“Maigums” zefyras su šokolado glaistu ir kavos įdaru,,140g,35.00,4750011849155,ZEFYR
Laima,“Maigums” zefyras su šokolado glaistu ir mėlynių įdaru,,140g,35.00,4750011849179,ZEFYR
Laima,“Maigums” zefyras pieniniame šokolade su kokoso gabalėliais,,140g,29.00,4750011849230,ZEFYR
Laima,“Maigums” zefyras pieniniame šokolade su kokoso gabalėliais,,185g,29.00,4750001000771,ZEFYR
Lisenas,Glaistytas zefyras,,800g,59.00,4770493186654,ZEFYR
Saldus Lobis,Vanilinis zefyras,Vanilla marshmallow,240g,24.00,4770067183751,ZEFYR
Saldus Lobis,Rožinis zefyras,Pink marshmallow,240g,24.00,4770067183775,ZEFYR
,KRAMTOMOJI GUMA/ TIC TAC/ MYNTHON,Chewing gum / TIC TAC / MYNTHON,kg,,EAN code,
Orbit,Kramtomoji guma ORBIT Strawberry x10,Chewing gum ORBIT Strawberry x10,14g,8.00,42070351,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma DIROL Sweet Mint,Chewing gum Dirol Sweet Mint,"13,6g",8.00,?,Chewing gum / TIC TAC / MYNTHON
Orbit,  ,  ,14g,8.00,42070429,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Bubblemint x10,Chewing gum ORBIT Bubblemint x10,14g,8.00,42247371,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Spearmint,Chewing gum ORBIT Spearmint,14g,8.00,?,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Watermelon,Chewing gum ORBIT Watermelon,14g,8.00,?,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Strong Mint x5 (juostelės),Chewing gum ORBIT Strong Mint x5 (strip),13g,8.00,42212140,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Tropical x12 (juostelės),Chewing gum ORBIT Tropical x12 (strip),31g,12.00,42247364,Chewing gum / TIC TAC / MYNTHON
Orbit,Kramtomoji guma ORBIT Professional Mints x30 (maišelis),Chewing gum ORBIT Professional Mints x30 (bag),30g,12.00,42211853,Chewing gum / TIC TAC / MYNTHON
Tic tac,Draže TIC TAC mint,Pills TIC TAC Mint,18g,8.00,80052043,Chewing gum / TIC TAC / MYNTHON
Tic tac,Draže TIC TAC orange,Pills TIC TAC Orange,18g,8.00,80052333,Chewing gum / TIC TAC / MYNTHON
Tic tac,Draže TIC TAC 100 fresh mint,Pills TIC TAC 100 fresh mint,49g,15.00,4008400395029,Chewing gum / TIC TAC / MYNTHON
Tic tac,Draže TIC TAC mango-guava and mint-guarana,Pills TIC TAC mango-guava and mint-Guarana,49g,15.00,8000500189597,Chewing gum / TIC TAC / MYNTHON
Tic tac,Draže TIC TAC “Dream of Costa Rica” ananas,"Pills TIC TAC ""Dream of Costa Rica pineapple",49g,15.00,8000500172339,Chewing gum / TIC TAC / MYNTHON
Mynthon,Pastilės MYNTHON Extra Strong,Pastilles MYNTHON Extra Strong,34g,12.00,6410600050437,Chewing gum / TIC TAC / MYNTHON
,MEDUOLAI/ RIESTAINIAI/ SAUSAINIAI/ VAFLIAI/ VAFLINIAI TORTAI,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes,kg,,EAN code,
Skanėsis,Meduoliai su karamele,Gingerbread with caramel,250g,15.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Skanėsis,Meduoliai su kondensuotu pienu,Gingerbread with condensed milk,250g,15.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Skanėsis,Meduoliai pieniniai,Gingerbread milk,250g,14.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
ADUGS,"Meduoliai,grietininiai","Gingerbread, cream",250g,15.00,4751000171646,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
ADUGS,Meduoliai kaimiški,Gingerbread rustic,250g,15.00,4751000171714,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Javinė,Meduoliai pieniniai,Gingerbread milk,250g,14.00,4770049061558,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
JDC,Meduoliai su medum,Gingerbread with honey,250g,14.00,4779019990423,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
JDC,Meduoliai “Kaimiški”,"Gingerbread ""Rustic""",200g,14.00,4779019991468,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
AR Maistas,Meduoliai su medumi,Gingerbread with honey,250g,14.00,4779019990423,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
JDC,Riestainiai arbatiniai,bagels tea,280g,15.00,4779019990360,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Skanėsis,Avižiniai sausainiai su pienu,Oatmeal cookies with milk,180g,14.00,4779030890641,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Skanėsis,Avižiniai sausainiai su šokolado gabaliukais,Oatmeal cookies with chocolate chips,180g,14.00,4779030890665,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Leelo,Avižiniai sausainiai,Oatmeal Cookies,500g,24.00,4740320001467,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Leelo,Avižiniai sausainiai su razinomis,Oatmeal cookies with raisins,500g,24.00,4740320005939,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Leelo,Avižiniai sausainiai su riešutais,Oatmeal cookies with nuts,500g,24.00,4740320002617,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Vilniaus pergalė,Sausainiai GAIDELIS “Klasika”,"Biscuits GAIDELIS ""Classic""",180g,10.00,4770179162316,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Vilniaus pergalė,Sausainiai GAIDELIS su fruktoze,"Biscuits, enriched with fructose",180g,10.00,4770179162729,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Vilniaus pergalė,Sausainiai GAIDELIS si aguonomis,Biscuits GAIDELIS si poppy seeds,180g,10.00,4770179162330,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA “Classic”,Biscuits SELGA Classic,180g,10.00,4750007689512,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA šokolado skonio,Biscuits SELGA chocolate,180g,10.00,4750007689536,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA airiško kremo skonio,Biscuits SELGA Irish cream flavor,180g,10.00,4750007689553,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA klevų sirupo skonio,Biscuits SELGA maple syrup flavor,180g,10.00,4750007848032,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA su razinomis,SELGA cookies with raisins,180g,10.00,4750007848582,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA su obuolių gabaliukais,SELGA biscuits with apple pieces,180g,10.00,4750007848766,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA sutirštinto pieno skonio,Biscuits SELGA condensed milk flavor,180g,10.00,4750007689574,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Sausainiai SELGA su bananų skoniu,Biscuits SELGA with banana flavor,180g,10.00,4750007848360,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Grybukai baravykiukai""","Biscuits ""Grybukai baravykiukai""",300g,49.00,4779039230103,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Grybukai baravykiukai""","Biscuits ""Grybukai baravykiukai""",kg,150/kg,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Sveikuoliai""","Biscuits ""health-conscious""",300g,27.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Naminiai""","Biscuits ""Pets""",300g,19.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Cukriniai""","Biscuits ""Sugar""",250g,16.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Kakaviniai""","Biscuits ""Cacao""",250g,16.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainiai ""Gnaibukai su šokoladu""","Biscuits ""Gnaibukai with chocolate""",350g,26.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Riestainis ""Baltas"" (supakuotas 1vnt)","Bagels ""White"" (packed 1pc)",70g,7.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Riestainis ""Kakavinis"" (supakuotas 1vnt)","Bagels ""cacao"" (packed 1pc)",70g,7.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,"Sausainis ""Paplotėlis"" (supakuotas 1vnt)","Biscuits ""scone"" (packed 1pc)",70g,7.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Pyraginė,F,F,60g,7.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vafliai SELGA šokolado skonio,Waffles SELGA chocolate,90g,8.00,4750007817793,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vafliai SELGA citrinų skonio,Waffles SELGA lemon flavor,90g,8.00,4750007817748,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vafliai SELGA lazdynų riešutų skonio,Waffles SELGA hazelnut flavor,90g,8.00,4750007848216,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vafliai SELGA vanilės skonio,Waffles SELGA vanilla flavor,90g,8.00,4750007848575,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Vilniaus duona,Riešutų skonio vafliai Klasika,Nuts taste vafers Classic,90g,8.00,4770163201632,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
,Kokosų skonio vafliai Klasika,Coconut taste vafers Classic,90g,8.00,4770163201649,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
,Šokolado skonio vafliai Klasika,Cjocolate taste vafers Classic,90g,8.00,4770163201625,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Albava,Lakštiniai vafliai,noodles waffles,200g,16.00,4771441215044,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Klaipėdos duona,Apvalūs vafliniai lakštai,Round wafer sheets,90g,15.00,4770217310525,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
,"Biskvito lakštai tortui,vaniliniai, 400 g","Sponge sheet cake, vanilla, 400 g",,27.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
,"Biskvito lakštai tortui, šokoladiniai, 400 g","Sponge sheet cake, chocolate, 400 g",,27.00,,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vaflinis tortas “Laimongoji karvutė”,"Wafer Cake ""Laimongoji cow""",300g,29.00,4750007897306,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vaflinis tortas šokoladinis su šokolado gabaliukais “Trifele”,"Wafer chocolate cake with chocolate chips ""Trifels""",350g,39.00,4750007848223,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
Laima,Vaflinis tortas chalvos skonio “Halva”,"Wafer cake flavored halva ""Halva""",300g,35.00,4750007847967,Gingerbread / bagels / Biscuits / Wafers / Waffle cakes
